category,stars,repo,url,updated,language,archived,fork,notes
prompt-injection-defense,10712,LouisShark/chatgpt_system_prompt,https://github.com/LouisShark/chatgpt_system_prompt,2026-08-01,HTML,false,false,System prompt and prompt injection knowledge index
prompt-injection-defense,6696,superagent-ai/superagent,https://github.com/superagent-ai/superagent,2026-08-02,TypeScript,false,false,AI application guardrails
prompt-injection-defense,4363,Tencent/AI-Infra-Guard,https://github.com/Tencent/AI-Infra-Guard,2026-08-02,Python,false,false,AI security scan and jailbreak evaluation
codex-gpt56-pojia,4281,MDX-Tom/gpt-5.6-instruct,https://github.com/MDX-Tom/gpt-5.6-instruct,2026-08-02,Python,false,false,GPT-5.6 Codex jailbreak pack
prompt-injection-defense,1517,protectai/rebuff,https://github.com/protectai/rebuff,2026-07-28,TypeScript,true,false,Prompt injection detector
prompt-injection-defense,1073,trailofbits/anamorpher,https://github.com/trailofbits/anamorpher,2026-07-30,Python,false,false,Multimodal prompt injection attack research
codex-agent-tools,1028,chen0416ccc-cpu/codex-windows-fast-patch-skill,https://github.com/chen0416ccc-cpu/codex-windows-fast-patch-skill,2026-08-02,PowerShell,false,false,Codex Desktop Windows patch skill
resource-list,938,scadastrangelove/awesome-ai-security-tools,https://github.com/scadastrangelove/awesome-ai-security-tools,2026-08-01,Python,false,false,AI security tools collection
prompt-injection-defense,786,luckyPipewrench/pipelock,https://github.com/luckyPipewrench/pipelock,2026-08-02,Go,false,false,AI agent firewall
prompt-injection-defense,777,toby-bridges/api-relay-audit,https://github.com/toby-bridges/api-relay-audit,2026-08-02,Python,false,false,AI API relay audit
prompt-injection-defense,736,Arcanum-Sec/arc_pi_taxonomy,https://github.com/Arcanum-Sec/arc_pi_taxonomy,2026-07-31,Unknown,false,false,Prompt injection taxonomy
llm-jailbreak-redteam,735,langgptai/LLM-Jailbreaks,https://github.com/langgptai/LLM-Jailbreaks,2026-08-01,Unknown,false,false,LLM jailbreak and prompt leaking collection
prompt-injection-defense,720,ZeroLeaks/zeroleaks,https://github.com/ZeroLeaks/zeroleaks,2026-07-31,TypeScript,false,false,AI security scanner
resource-list,717,tldrsec/prompt-injection-defenses,https://github.com/tldrsec/prompt-injection-defenses,2026-07-30,Unknown,false,false,Prompt injection defense list
resource-list,713,anmolksachan/AI-ML-Free-Resources-for-Security-and-Prompt-Injection,https://github.com/anmolksachan/AI-ML-Free-Resources-for-Security-and-Prompt-Injection,2026-08-02,Unknown,false,false,AI ML security roadmap
prompt-injection-defense,676,arcjet/arcjet-js,https://github.com/arcjet/arcjet-js,2026-08-01,TypeScript,false,false,Runtime AI app security
resource-list,661,PromptLabs/Prompt-Hacking-Resources,https://github.com/PromptLabs/Prompt-Hacking-Resources,2026-08-02,Unknown,false,false,Prompt hacking resources
resource-list,607,jthack/PIPE,https://github.com/jthack/PIPE,2026-07-24,Unknown,false,false,Prompt Injection Primer for Engineers
resource-list,573,Joe-B-Security/awesome-prompt-injection,https://github.com/Joe-B-Security/awesome-prompt-injection,2026-08-02,Unknown,false,false,Prompt injection learning resources
prompt-injection-defense,500,secureagentics/Adrian,https://github.com/secureagentics/Adrian,2026-08-02,Python,false,false,Runtime AI agent monitor
prompt-injection-defense,492,deadbits/vigil-llm,https://github.com/deadbits/vigil-llm,2026-07-23,Python,false,false,LLM input risk detector
prompt-injection-defense,469,liu00222/Open-Prompt-Injection,https://github.com/liu00222/Open-Prompt-Injection,2026-08-01,Python,false,false,Prompt injection benchmark
prompt-injection-defense,422,hashgraph-online/hol-guard,https://github.com/hashgraph-online/hol-guard,2026-08-01,Python,false,false,AI agent runtime protection
resource-list,351,yunwei37/prompt-hacker-collections,https://github.com/yunwei37/prompt-hacker-collections,2026-08-01,Unknown,false,false,Prompt attack and defense notes
codex-gpt56-pojia,354,lingbol088-spec/5.6-JAILBREAK-NERV-codex-instruct-5.6,https://github.com/lingbol088-spec/5.6-JAILBREAK-NERV-codex-instruct-5.6,2026-08-02,Python,false,false,NERV GPT-5.6 Codex framework
prompt-injection-defense,362,google-research/camel-prompt-injection,https://github.com/google-research/camel-prompt-injection,2026-08-01,Jupyter Notebook,false,false,Prompt injection defense research
prompt-injection-defense,337,getagentseal/agentseal,https://github.com/getagentseal/agentseal,2026-08-01,Python,false,false,AI agent security toolkit
resource-list,320,Shiva108/ai-llm-red-team-handbook,https://github.com/Shiva108/ai-llm-red-team-handbook,2026-07-31,Python,false,false,AI LLM red-team field manual
prompt-injection-defense,270,LLMSecurity/HouYi,https://github.com/LLMSecurity/HouYi,2026-07-26,Python,false,false,Prompt injection framework
prompt-injection-defense,264,praetorian-inc/augustus,https://github.com/praetorian-inc/augustus,2026-08-01,Go,false,false,LLM security testing framework
prompt-injection-defense,262,CyberSunil/LLMVault,https://github.com/CyberSunil/LLMVault,2026-08-02,Python,false,false,Vulnerable LLM app training platform
prompt-injection-defense,261,PrismorSec/prismor,https://github.com/PrismorSec/prismor,2026-08-02,Python,false,false,Runtime control plane for AI agents
prompt-injection-defense,259,lasso-security/claude-hooks,https://github.com/lasso-security/claude-hooks,2026-07-31,TypeScript,false,false,Claude Code defenses
